Date,Open,High,Low,Close,Adj Close,Volume
2004-04-06,12042.990234,12095.639648,11937.519531,12079.700195,12079.700195,143900000
2004-04-07,12017.349609,12097.700195,12001.000000,12019.620117,12019.620117,119000000
2004-04-08,12013.160156,12119.309570,11961.559570,12092.589844,12092.589844,109800000
2004-04-09,12012.629883,12012.629883,11862.339844,11897.509766,11897.509766,105400000
2004-04-12,11926.480469,12085.070313,11926.480469,12042.700195,12042.700195,83900000
2004-04-13,12140.120117,12170.959961,12096.959961,12127.820313,12127.820313,125100000
2004-04-14,12064.490234,12134.269531,12034.459961,12098.179688,12098.179688,169700000
2004-04-15,12118.030273,12189.980469,11770.400391,11800.400391,11800.400391,188500000
2004-04-16,11817.969727,11864.410156,11690.240234,11824.559570,11824.559570,109500000
2004-04-19,11854.639648,11861.169922,11623.650391,11764.209961,11764.209961,113800000
2004-04-20,11821.459961,12037.950195,11768.080078,11952.259766,11952.259766,111300000
2004-04-21,11943.900391,12001.269531,11881.419922,11944.299805,11944.299805,107800000
2004-04-22,12026.089844,12074.139648,11952.780273,11980.099609,11980.099609,98500000
2004-04-23,12050.700195,12120.660156,12015.219727,12120.660156,12120.660156,126100000
2004-04-26,12135.309570,12195.660156,12095.700195,12163.889648,12163.889648,107300000
2004-04-27,12115.049805,12115.049805,12025.209961,12044.879883,12044.879883,93300000
2004-04-28,12077.209961,12085.389648,11969.330078,12004.290039,12004.290039,108900000
2004-04-29,null,null,null,null,null,null
2004-04-30,11862.349609,11862.349609,11652.169922,11761.790039,11761.790039,115200000
2004-05-03,null,null,null,null,null,null
2004-05-04,null,null,null,null,null,null
2004-05-05,null,null,null,null,null,null
2004-05-06,11777.440430,11785.259766,11554.019531,11571.339844,11571.339844,93000000
2004-05-07,11497.400391,11582.070313,11438.820313,11438.820313,11438.820313,102300000
2004-05-10,11384.030273,11392.790039,10838.929688,10884.700195,10884.700195,126400000
2004-05-11,10850.480469,10970.469727,10790.129883,10907.179688,10907.179688,122900000
2004-05-12,11017.650391,11157.339844,10984.790039,11153.580078,11153.580078,111200000
2004-05-13,11081.750000,11081.750000,10825.099609,10825.099609,10825.099609,96200000
2004-05-14,10846.610352,10939.089844,10739.490234,10849.629883,10849.629883,107600000
2004-05-17,10790.790039,10790.790039,10489.839844,10505.049805,10505.049805,102200000
2004-05-18,10533.169922,10711.089844,10524.500000,10711.089844,10711.089844,94700000
2004-05-19,10777.379883,10993.080078,10716.230469,10967.740234,10967.740234,99800000
2004-05-20,10949.070313,11045.660156,10760.690430,10862.040039,10862.040039,98000000
2004-05-21,10889.889648,11076.429688,10872.009766,11070.250000,11070.250000,77600000
2004-05-24,11094.709961,11170.269531,11043.219727,11101.639648,11101.639648,83600000
2004-05-25,11071.509766,11071.509766,10927.440430,10962.929688,10962.929688,68700000
2004-05-26,11095.370117,11213.790039,11093.830078,11152.089844,11152.089844,71500000
2004-05-27,11163.820313,11219.459961,11119.150391,11166.030273,11166.030273,66600000
2004-05-28,11267.230469,11345.400391,11255.990234,11309.570313,11309.570313,97800000
2004-05-31,11288.790039,11297.150391,11100.849609,11236.370117,11236.370117,76100000
2004-06-01,11204.690430,11338.469727,11170.089844,11296.759766,11296.759766,74900000
2004-06-02,11283.209961,11283.209961,11184.730469,11242.339844,11242.339844,69700000
2004-06-03,11275.950195,11358.509766,10963.559570,11027.049805,11027.049805,97700000
2004-06-04,11057.190430,11128.049805,11017.250000,11128.049805,11128.049805,69500000
2004-06-07,11212.639648,11485.629883,11212.639648,11439.919922,11439.919922,80000000
2004-06-08,11533.929688,11542.589844,11452.990234,11521.929688,11521.929688,79100000
2004-06-09,11514.719727,11521.059570,11419.129883,11449.740234,11449.740234,73500000
2004-06-10,11378.450195,11624.709961,11367.400391,11575.969727,11575.969727,81300000
2004-06-11,11595.000000,11637.730469,11486.549805,11526.820313,11526.820313,133900000
2004-06-14,11495.799805,11622.799805,11475.309570,11491.660156,11491.660156,68300000
2004-06-15,11457.110352,11482.919922,11349.429688,11387.700195,11387.700195,72200000
2004-06-16,11492.429688,11673.480469,11492.429688,11641.719727,11641.719727,79500000
2004-06-17,11630.209961,11649.330078,11510.179688,11607.900391,11607.900391,61200000
2004-06-18,11552.719727,11555.200195,11310.160156,11382.080078,11382.080078,60900000
2004-06-21,11474.389648,11729.129883,11474.389648,11600.160156,11600.160156,68500000
2004-06-22,11546.929688,11581.269531,11472.080078,11581.269531,11581.269531,70300000
2004-06-23,11642.230469,11678.839844,11547.129883,11580.559570,11580.559570,83400000
2004-06-24,11652.540039,11744.150391,11649.290039,11744.150391,11744.150391,84100000
2004-06-25,11742.940430,11780.400391,11661.110352,11780.400391,11780.400391,77500000
2004-06-28,11801.879883,11884.059570,11774.669922,11884.059570,11884.059570,67900000
2004-06-29,11816.889648,11885.500000,11788.150391,11860.809570,11860.809570,83100000
2004-06-30,11869.860352,11887.950195,11808.129883,11858.870117,11858.870117,68000000
2004-07-01,11933.330078,11988.120117,11889.700195,11896.009766,11896.009766,64600000
2004-07-02,11781.540039,11781.540039,11693.000000,11721.490234,11721.490234,57800000
2004-07-05,11622.849609,11648.849609,11511.490234,11541.709961,11541.709961,52500000
2004-07-06,11536.450195,11606.599609,11475.269531,11475.269531,11475.269531,56200000
2004-07-07,11359.709961,11429.240234,11251.349609,11384.860352,11384.860352,70400000
2004-07-08,11372.629883,11411.309570,11279.549805,11322.230469,11322.230469,61500000
2004-07-09,11283.280273,11449.450195,11283.080078,11423.530273,11423.530273,68700000
2004-07-12,11532.639648,11598.900391,11474.080078,11582.280273,11582.280273,62600000
2004-07-13,11544.019531,11608.620117,11501.219727,11608.620117,11608.620117,65700000
2004-07-14,11663.400391,11664.000000,11356.650391,11356.650391,11356.650391,91700000
2004-07-15,11413.330078,11440.019531,11315.969727,11409.139648,11409.139648,75900000
2004-07-16,11327.750000,11475.120117,11243.280273,11436.000000,11436.000000,79200000
2004-07-19,null,null,null,null,null,null
2004-07-20,11318.139648,11318.139648,11191.759766,11258.370117,11258.370117,64400000
2004-07-21,11335.240234,11433.860352,11326.679688,11433.860352,11433.860352,60300000
2004-07-22,11310.570313,11310.570313,11227.950195,11285.040039,11285.040039,51500000
2004-07-23,11263.500000,11264.250000,11170.540039,11187.330078,11187.330078,61900000
2004-07-26,11099.870117,11159.549805,11065.719727,11159.549805,11159.549805,52500000
2004-07-27,11126.269531,11180.799805,11028.349609,11031.540039,11031.540039,69800000
2004-07-28,11133.480469,11236.030273,11132.919922,11204.370117,11204.370117,66600000
2004-07-29,11187.309570,11189.280273,11018.790039,11116.839844,11116.839844,67900000
2004-07-30,11211.200195,11325.990234,11210.320313,11325.780273,11325.780273,71600000
2004-08-02,11274.450195,11279.709961,11161.839844,11222.240234,11222.240234,64700000
2004-08-03,11230.290039,11258.879883,11102.500000,11140.570313,11140.570313,70600000
2004-08-04,11077.519531,11084.980469,10888.780273,11010.019531,11010.019531,78000000
2004-08-05,11060.179688,11104.690430,10981.320313,11060.889648,11060.889648,74300000
2004-08-06,10944.610352,10974.450195,10894.650391,10972.570313,10972.570313,78100000
2004-08-09,10827.599609,10916.459961,10737.419922,10908.700195,10908.700195,70300000
2004-08-10,10849.700195,10972.070313,10849.700195,10953.549805,10953.549805,67100000
2004-08-11,11049.799805,11076.379883,10997.070313,11049.459961,11049.459961,66500000
2004-08-12,11005.129883,11091.639648,11005.129883,11028.070313,11028.070313,54100000
2004-08-13,10901.559570,10903.610352,10757.200195,10757.200195,10757.200195,65700000
2004-08-16,10728.980469,10730.530273,10545.889648,10687.809570,10687.809570,59900000
2004-08-17,10772.240234,10802.639648,10705.740234,10725.969727,10725.969727,52700000
2004-08-18,10724.820313,10774.259766,10659.209961,10774.259766,10774.259766,51700000
2004-08-19,10861.919922,10908.740234,10830.650391,10903.530273,10903.530273,63400000
2004-08-20,10859.080078,10938.940430,10837.009766,10889.139648,10889.139648,67100000
2004-08-23,10961.910156,11007.639648,10947.750000,10960.969727,10960.969727,61600000
2004-08-24,10978.620117,11016.120117,10897.110352,10985.330078,10985.330078,60800000
2004-08-25,10959.519531,11143.750000,10934.450195,11130.019531,11130.019531,84700000
2004-08-26,11196.290039,11225.950195,11101.629883,11129.330078,11129.330078,105200000
2004-08-27,11148.209961,11209.589844,11107.940430,11209.589844,11209.589844,58200000
2004-08-30,11181.299805,11226.299805,11128.709961,11184.530273,11184.530273,61000000
2004-08-31,11119.150391,11154.280273,11042.290039,11081.790039,11081.790039,66100000
2004-09-01,11104.849609,11169.429688,11102.410156,11127.349609,11127.349609,66100000
2004-09-02,11179.320313,11190.509766,11097.809570,11152.750000,11152.750000,62000000
2004-09-03,11182.099609,11186.820313,11013.360352,11022.490234,11022.490234,75000000
2004-09-06,11086.690430,11270.360352,11057.320313,11244.370117,11244.370117,94300000
2004-09-07,11275.280273,11312.059570,11226.780273,11298.940430,11298.940430,90500000
2004-09-08,11345.120117,11357.849609,11270.530273,11279.190430,11279.190430,89300000
2004-09-09,11276.490234,11330.330078,11145.790039,11170.959961,11170.959961,104100000
2004-09-10,11089.900391,11089.959961,10960.030273,11083.230469,11083.230469,168400000
2004-09-13,11139.969727,11257.849609,11131.030273,11253.110352,11253.110352,86200000
2004-09-14,11312.719727,11352.419922,11274.429688,11295.580078,11295.580078,92300000
2004-09-15,11278.660156,11285.799805,11158.580078,11158.580078,11158.580078,96800000
2004-09-16,11092.700195,11177.660156,11089.820313,11139.360352,11139.360352,75900000
2004-09-17,11132.059570,11145.490234,11046.099609,11082.490234,11082.490234,75700000
2004-09-20,null,null,null,null,null,null
2004-09-21,11148.209961,11151.110352,11059.950195,11080.870117,11080.870117,78800000
2004-09-22,11111.299805,11135.459961,10963.820313,11019.410156,11019.410156,73000000
2004-09-23,null,null,null,null,null,null
2004-09-24,10934.019531,10934.019531,10826.400391,10895.160156,10895.160156,75400000
2004-09-27,10863.349609,10888.040039,10782.559570,10859.320313,10859.320313,56300000
2004-09-28,10805.660156,10821.839844,10737.780273,10815.570313,10815.570313,66000000
2004-09-29,10873.879883,10873.889648,10770.230469,10786.099609,10786.099609,66700000
2004-09-30,10870.209961,10928.190430,10823.570313,10823.570313,10823.570313,73900000
2004-10-01,10893.190430,10987.179688,10893.190430,10985.169922,10985.169922,84400000
2004-10-04,11111.450195,11282.650391,11105.000000,11279.629883,11279.629883,94300000
2004-10-05,11257.200195,11304.719727,11242.120117,11281.830078,11281.830078,77900000
2004-10-06,11221.540039,11408.099609,11218.379883,11385.379883,11385.379883,93500000
2004-10-07,11399.419922,11410.400391,11337.190430,11354.589844,11354.589844,80000000
2004-10-08,11311.410156,11370.339844,11302.750000,11349.349609,11349.349609,80200000
2004-10-11,null,null,null,null,null,null
2004-10-12,11295.049805,11320.790039,11182.500000,11201.809570,11201.809570,74300000
2004-10-13,11235.459961,11306.870117,11195.990234,11195.990234,11195.990234,63600000
2004-10-14,11150.589844,11150.589844,11033.309570,11034.290039,11034.290039,99200000
